"","V1","V2"
"7094","gruseligen","-0.0048"
"7095","gruseligstem","-0.0048"
"7096","gruseligsten","-0.0048"
"7097","gruseligeres","-0.0048"
"7098","gruseligerer","-0.0048"
"7099","gruseliger","-0.0048"
"7100","gruseligster","-0.0048"
"7101","gruseliges","-0.0048"
"7102","gruseligste","-0.0048"
"7103","gruseligstes","-0.0048"
"7104","gräßlicher","-0.4529"
"7105","gräßliches","-0.4529"
"7106","gräßlichem","-0.4529"
"7107","gräßlichen","-0.4529"
"7108","gräßliche","-0.4529"
"7109","gräßlicheres","-0.4529"
"7110","gräßlicherer","-0.4529"
"7111","gräßlicheren","-0.4529"
"7112","gräßlichstes","-0.4529"
"7113","gräßlichster","-0.4529"
"7114","gräßlicherem","-0.4529"
"7115","gräßlichstem","-0.4529"
"7116","gräßlichsten","-0.4529"
"7117","gräßlichere","-0.4529"
"7118","gräßlichst","-0.4529"
"7119","gräßlichste","-0.4529"
"7120","haarigere","-0.0351"
"7121","haarige","-0.0351"
"7122","haariger","-0.0351"
"7123","haarigeren","-0.0351"
"7124","haarigstes","-0.0351"
"7125","haarigerem","-0.0351"
"7126","haarigst","-0.0351"
"7127","haarigster","-0.0351"
"7128","haariges","-0.0351"
"7129","haarigen","-0.0351"
"7130","haarigstem","-0.0351"
"7131","haarigem","-0.0351"
"7132","haarigsten","-0.0351"
"7133","haarigste","-0.0351"
"7134","haarigerer","-0.0351"
"7135","haarigeres","-0.0351"
"7136","haarsträubendster","-0.4637"
"7137","haarsträubenderer","-0.4637"
"7138","haarsträubendstem","-0.4637"
"7139","haarsträubendsten","-0.4637"
"7140","haarsträubenderes","-0.4637"
"7141","haarsträubendste","-0.4637"
"7142","haarsträubenderen","-0.4637"
"7143","haarsträubenderem","-0.4637"
"7144","haarsträubendem","-0.4637"
"7145","haarsträubenden","-0.4637"
"7146","haarsträubendere","-0.4637"
"7147","haarsträubendst","-0.4637"
"7148","haarsträubendstes","-0.4637"
"7149","haarsträubende","-0.4637"
"7150","haarsträubendes","-0.4637"
"7151","haarsträubender","-0.4637"
"7152","habgierigst","-0.3059"
"7153","habgierigsten","-0.3059"
"7154","habgierigem","-0.3059"
"7155","habgierigen","-0.3059"
"7156","habgierigerem","-0.3059"
"7157","habgierigster","-0.3059"
"7158","habgierigeren","-0.3059"
"7159","habgierigstes","-0.3059"
"7160","habgierigstem","-0.3059"
"7161","habgierigere","-0.3059"
"7162","habgierigeres","-0.3059"
"7163","habgierigerer","-0.3059"
"7164","habgieriges","-0.3059"
"7165","habgieriger","-0.3059"
"7166","habgierigste","-0.3059"
"7167","habgierige","-0.3059"
"7168","halbfertigste","-0.0048"
"7169","halbfertigen","-0.0048"
"7170","halbfertigem","-0.0048"
"7171","halbfertigst","-0.0048"
"7172","halbfertiges","-0.0048"
"7173","halbfertiger","-0.0048"
"7174","halbfertigerem","-0.0048"
"7175","halbfertigsten","-0.0048"
"7176","halbfertigere","-0.0048"
"7177","halbfertigstes","-0.0048"
"7178","halbfertigster","-0.0048"
"7179","halbfertigeren","-0.0048"
"7180","halbfertigeres","-0.0048"
"7181","halbfertige","-0.0048"
"7182","halbfertigerer","-0.0048"
"7183","halbfertigstem","-0.0048"
"7184","happiges","-0.0256"
"7185","happiger","-0.0256"
"7186","happigste","-0.0256"
"7187","happigen","-0.0256"
"7188","happigst","-0.0256"
"7189","happigerer","-0.0256"
"7190","happigeres","-0.0256"
"7191","happigeren","-0.0256"
"7192","happigerem","-0.0256"
"7193","happigere","-0.0256"
"7194","happigem","-0.0256"
"7195","happigstem","-0.0256"
"7196","happigsten","-0.0256"
"7197","happigster","-0.0256"
"7198","happigstes","-0.0256"
"7199","happige","-0.0256"
"7200","harschstes","-0.0048"
"7201","harschster","-0.0048"
"7202","harschestem","-0.0048"
"7203","harscheste","-0.0048"
"7204","harschsten","-0.0048"
"7205","harschstem","-0.0048"
"7206","harschere","-0.0048"
"7207","harschst","-0.0048"
"7208","harscheres","-0.0048"
"7209","harschem","-0.0048"
"7210","harsche","-0.0048"
"7211","harscherer","-0.0048"
"7212","harschste","-0.0048"
"7213","harschester","-0.0048"
"7214","harschestes","-0.0048"
"7215","harscher","-0.0048"
"7216","harsches","-0.0048"
"7217","harschesten","-0.0048"
"7218","harschest","-0.0048"
"7219","harschen","-0.0048"
"7220","harscherem","-0.0048"
"7221","harscheren","-0.0048"
"7222","hartes","-0.1483"
"7223","harter","-0.1483"
"7224","härtere","-0.1483"
"7225","härtest","-0.1483"
"7226","härtester","-0.1483"
"7227","härter","-0.1483"
"7228","härtestes","-0.1483"
"7229","hartem","-0.1483"
"7230","härteste","-0.1483"
"7231","härtestem","-0.1483"
"7232","härtesten","-0.1483"
"7233","harten","-0.1483"
"7234","harte","-0.1483"
"7235","härterer","-0.1483"
"7236","härteres","-0.1483"
"7237","härteren","-0.1483"
"7238","härterem","-0.1483"
"7239","hartnäckigstes","-0.1956"
"7240","hartnäckigster","-0.1956"
"7241","hartnäckigste","-0.1956"
"7242","hartnäckigerem","-0.1956"
"7243","hartnäckigstem","-0.1956"
"7244","hartnäckigsten","-0.1956"
"7245","hartnäckigeren","-0.1956"
"7246","hartnäckiges","-0.1956"
"7247","hartnäckiger","-0.1956"
"7248","hartnäckigere","-0.1956"
"7249","hartnäckigst","-0.1956"
"7250","hartnäckigen","-0.1956"
"7251","hartnäckigem","-0.1956"
"7252","hartnäckigeres","-0.1956"
"7253","hartnäckigerer","-0.1956"
"7254","hartnäckige","-0.1956"
"7255","hasstet","-0.054"
"7256","hass","-0.054"
"7257","gehasst","-0.054"
"7258","hasstest","-0.054"
"7259","hasse","-0.054"
"7260","hasset","-0.054"
"7261","hassest","-0.054"
"7262","hasst","-0.054"
"7263","hassten","-0.054"
"7264","hasste","-0.054"
"7265","heftigst","-0.1819"
"7266","heftige","-0.1819"
"7267","heftigste","-0.1819"
"7268","heftigeren","-0.1819"
"7269","heftigerem","-0.1819"
"7270","heftigster","-0.1819"
"7271","heftigem","-0.1819"
"7272","heftigen","-0.1819"
"7273","heftigsten","-0.1819"
"7274","heftigere","-0.1819"
"7275","heftigstem","-0.1819"
"7276","heftiger","-0.1819"
"7277","heftiges","-0.1819"
"7278","heftigerer","-0.1819"
"7279","heftigstes","-0.1819"
"7280","heftigeres","-0.1819"
"7281","heikelstes","-0.0048"
"7282","heikelster","-0.0048"
"7283","heikelsten","-0.0048"
"7284","heikelste","-0.0048"
"7285","heikelst","-0.0048"
"7286","heikler","-0.0048"
"7287","heikles","-0.0048"
"7288","heiklere","-0.0048"
"7289","heikleres","-0.0048"
"7290","heikle","-0.0048"
"7291","heikelstem","-0.0048"
"7292","heiklerer","-0.0048"
"7293","heiklem","-0.0048"
"7294","heiklen","-0.0048"
"7295","heiklerem","-0.0048"
"7296","heikleren","-0.0048"
"7297","heilloser","-0.0048"
"7298","heilloses","-0.0048"
"7299","heillosem","-0.0048"
"7300","heillosen","-0.0048"
"7301","heilloseste","-0.0048"
"7302","heillosesten","-0.0048"
"7303","heillosestem","-0.0048"
"7304","heillosere","-0.0048"
"7305","heillose","-0.0048"
"7306","heillosest","-0.0048"
"7307","heilloserem","-0.0048"
"7308","heillosester","-0.0048"
"7309","heilloseren","-0.0048"
"7310","heillosestes","-0.0048"
"7311","heilloseres","-0.0048"
"7312","heilloserer","-0.0048"
"7313","heimsuchtest","-0.3228"
"7314","heimsuchten","-0.3228"
"7315","heimsuch","-0.3228"
"7316","heimgesucht","-0.3228"
"7317","heimsuchte","-0.3228"
"7318","heimsucht","-0.3228"
"7319","heimsuchst","-0.3228"
"7320","heimsuchtet","-0.3228"
"7321","heimsuchet","-0.3228"
"7322","heimsuchest","-0.3228"
"7323","heimsuche","-0.3228"
"7324","heimtückischen","-0.3241"
"7325","heimtückischem","-0.3241"
"7326","heimtückischere","-0.3241"
"7327","heimtückisches","-0.3241"
"7328","heimtückischer","-0.3241"
"7329","heimtückischeren","-0.3241"
"7330","heimtückische","-0.3241"
"7331","heimtückischerem","-0.3241"
"7332","heimtückischeres","-0.3241"
"7333","heimtückischerer","-0.3241"
"7334","heimtückischst","-0.3241"
"7335","heimtückischstes","-0.3241"
"7336","heimtückischster","-0.3241"
"7337","heimtückischste","-0.3241"
"7338","heimtückischstem","-0.3241"
"7339","heimtückischsten","-0.3241"
"7340","heimzahlte","-0.0371"
"7341","heimzahlst","-0.0371"
"7342","heimgezahlt","-0.0371"
"7343","heimzahltet","-0.0371"
"7344","heimzahltest","-0.0371"
"7345","heimzahlest","-0.0371"
"7346","heimzahlten","-0.0371"
"7347","heimzahl","-0.0371"
"7348","heimzahle","-0.0371"
"7349","heimzahlt","-0.0371"
"7350","heimzahlet","-0.0371"
"7351","hektischste","-0.0396"
"7352","hektischeres","-0.0396"
"7353","hektischem","-0.0396"
"7354","hektischsten","-0.0396"
"7355","hektischen","-0.0396"
"7356","hektischstem","-0.0396"
"7357","hektischeren","-0.0396"
"7358","hektischere","-0.0396"
"7359","hektischerem","-0.0396"
"7360","hektischst","-0.0396"
"7361","hektisches","-0.0396"
"7362","hektischer","-0.0396"
"7363","hektischerer","-0.0396"
"7364","hektischster","-0.0396"
"7365","hektischstes","-0.0396"
"7366","hektische","-0.0396"
"7367","hemmest","-0.1953"
"7368","gehemmt","-0.1953"
"7369","hemmtest","-0.1953"
"7370","hemmst","-0.1953"
"7371","hemme","-0.1953"
"7372","hemmten","-0.1953"
"7373","hemmet","-0.1953"
"7374","hemmte","-0.1953"
"7375","hemmt","-0.1953"
"7376","hemmtet","-0.1953"
"7377","hemm","-0.1953"
"7378","herabsetzest","-0.3199"
"7379","herabsetz","-0.3199"
"7380","herabgesetzt","-0.3199"
"7381","herabsetzten","-0.3199"
"7382","herabsetze","-0.3199"
"7383","herabsetzt","-0.3199"
"7384","herabsetztet","-0.3199"
"7385","herabsetztest","-0.3199"
"7386","herabsetzet","-0.3199"
"7387","herabsetzte","-0.3199"
"7388","herausforder","-0.0048"
"7389","herausgefordert","-0.0048"
"7390","herausfordertest","-0.0048"
"7391","herausforderst","-0.0048"
"7392","herausforderen","-0.0048"
"7393","herausforderte","-0.0048"
"7394","herausfordertet","-0.0048"
"7395","herausforderten","-0.0048"
"7396","herausfordere","-0.0048"
"7397","herausfordert","-0.0048"
"7398","herrischstes","-0.0426"
"7399","herrischem","-0.0426"
"7400","herrischster","-0.0426"
"7401","herrischen","-0.0426"
"7402","herrischere","-0.0426"
"7403","herrischst","-0.0426"
"7404","herrischsten","-0.0426"
"7405","herrischer","-0.0426"
"7406","herrisches","-0.0426"
"7407","herrischstem","-0.0426"
"7408","herrischerem","-0.0426"
"7409","herrischeren","-0.0426"
"7410","herrische","-0.0426"
"7411","herrischste","-0.0426"
"7412","herrischeres","-0.0426"
"7413","herrischerer","-0.0426"
"7414","heruntermachten","-0.0048"
"7415","heruntermachet","-0.0048"
"7416","heruntermache","-0.0048"
"7417","heruntermachtet","-0.0048"
"7418","heruntermachest","-0.0048"
"7419","heruntermachte","-0.0048"
"7420","heruntermach","-0.0048"
"7421","heruntermachst","-0.0048"
"7422","heruntermacht","-0.0048"
"7423","heruntermachtest","-0.0048"
"7424","heruntergemacht","-0.0048"
"7425","herzlosere","-0.3157"
"7426","herzloses","-0.3157"
"7427","herzloser","-0.3157"
"7428","herzloseste","-0.3157"
"7429","herzlosen","-0.3157"
"7430","herzlose","-0.3157"
"7431","herzlosem","-0.3157"
"7432","herzloseres","-0.3157"
"7433","herzlosestes","-0.3157"
"7434","herzlosester","-0.3157"
"7435","herzloserer","-0.3157"
"7436","herzlosest","-0.3157"
"7437","herzloserem","-0.3157"
"7438","herzloseren","-0.3157"
"7439","herzlosestem","-0.3157"
"7440","herzlosesten","-0.3157"
"7441","geheuchelt","-0.0048"
"7442","heucheltest","-0.0048"
"7443","heuchelst","-0.0048"
"7444","heuchelte","-0.0048"
"7445","heucheltet","-0.0048"
"7446","heuchle","-0.0048"
"7447","heuchelt","-0.0048"
"7448","heuchele","-0.0048"
"7449","heuchelen","-0.0048"
"7450","heuchel","-0.0048"
"7451","heuchl","-0.0048"
"7452","heuchelten","-0.0048"
"7453","heuchlerischer","-0.4544"
"7454","heuchlerisches","-0.4544"
"7455","heuchlerischstem","-0.4544"
"7456","heuchlerischsten","-0.4544"
"7457","heuchlerische","-0.4544"
"7458","heuchlerischem","-0.4544"
"7459","heuchlerischstes","-0.4544"
"7460","heuchlerischen","-0.4544"
"7461","heuchlerischster","-0.4544"
"7462","heuchlerischere","-0.4544"
"7463","heuchlerischerer","-0.4544"
"7464","heuchlerischeres","-0.4544"
"7465","heuchlerischeren","-0.4544"
"7466","heuchlerischerem","-0.4544"
"7467","heuchlerischste","-0.4544"
"7468","heuchlerischst","-0.4544"
"7469","hilfloserer","-0.4827"
"7470","hilfloseste","-0.4827"
"7471","hilflose","-0.4827"
"7472","hilfloserem","-0.4827"
"7473","hilfloseren","-0.4827"
"7474","hilflosem","-0.4827"
"7475","hilflosen","-0.4827"
"7476","hilflosere","-0.4827"
"7477","hilflosestes","-0.4827"
"7478","hilfloses","-0.4827"
"7479","hilflosester","-0.4827"
"7480","hilfloser","-0.4827"
"7481","hilflosesten","-0.4827"
"7482","hilflosestem","-0.4827"
"7483","hilfloseres","-0.4827"
"7484","hilflosest","-0.4827"
"7485","hinfälligste","-0.3336"
"7486","hinfälligeres","-0.3336"
"7487","hinfälligere","-0.3336"
"7488","hinfälligerer","-0.3336"
"7489","hinfälligsten","-0.3336"
"7490","hinfälligstem","-0.3336"
"7491","hinfälligster","-0.3336"
"7492","hinfällige","-0.3336"
"7493","hinfälliges","-0.3336"
"7494","hinfälliger","-0.3336"
"7495","hinfälligstes","-0.3336"
"7496","hinfälligerem","-0.3336"
"7497","hinfälligen","-0.3336"
"7498","hinfälligeren","-0.3336"
"7499","hinfälligem","-0.3336"
"7500","hinfälligst","-0.3336"
"7501","hinterlistigere","-0.3187"
"7502","hinterlistigerem","-0.3187"
"7503","hinterlistigeren","-0.3187"
"7504","hinterlistigerer","-0.3187"
"7505","hinterlistigeres","-0.3187"
"7506","hinterlistigstem","-0.3187"
"7507","hinterlistigsten","-0.3187"
"7508","hinterlistigen","-0.3187"
"7509","hinterlistigem","-0.3187"
"7510","hinterlistiges","-0.3187"
"7511","hinterlistigste","-0.3187"
"7512","hinterlistigster","-0.3187"
"7513","hinterlistiger","-0.3187"
"7514","hinterlistigstes","-0.3187"
"7515","hinterlistigst","-0.3187"
"7516","hinterlistige","-0.3187"
"7517","hochtrabendste","-0.3086"
"7518","hochtrabenderes","-0.3086"
"7519","hochtrabenderer","-0.3086"
"7520","hochtrabenderen","-0.3086"
"7521","hochtrabenderem","-0.3086"
"7522","hochtrabendem","-0.3086"
"7523","hochtrabenden","-0.3086"
"7524","hochtrabendster","-0.3086"
"7525","hochtrabendstes","-0.3086"
"7526","hochtrabender","-0.3086"
"7527","hochtrabendstem","-0.3086"
"7528","hochtrabendsten","-0.3086"
"7529","hochtrabendes","-0.3086"
"7530","hochtrabendst","-0.3086"
"7531","hochtrabende","-0.3086"
"7532","hochtrabendere","-0.3086"
"7533","hoffnungsloseste","-0.3412"
"7534","hoffnungslosen","-0.3412"
"7535","hoffnungslosem","-0.3412"
"7536","hoffnungslose","-0.3412"
"7537","hoffnungsloserer","-0.3412"
"7538","hoffnungslosestem","-0.3412"
"7539","hoffnungslosesten","-0.3412"
"7540","hoffnungsloseres","-0.3412"
"7541","hoffnungslosest","-0.3412"
"7542","hoffnungsloseren","-0.3412"
"7543","hoffnungslosester","-0.3412"
"7544","hoffnungsloserem","-0.3412"
"7545","hoffnungslosestes","-0.3412"
"7546","hoffnungslosere","-0.3412"
"7547","hoffnungsloses","-0.3412"
"7548","hoffnungsloser","-0.3412"
"7549","hungertet","-0.0565"
"7550","hunger","-0.0565"
"7551","hungerte","-0.0565"
"7552","gehungert","-0.0565"
"7553","hungerst","-0.0565"
"7554","hungerten","-0.0565"
"7555","hungeren","-0.0565"
"7556","hungertest","-0.0565"
"7557","hungert","-0.0565"
"7558","hungere","-0.0565"
"7559","hungrigst","-0.0048"
"7560","hungrigere","-0.0048"
"7561","hungrigerer","-0.0048"
"7562","hungrigeres","-0.0048"
"7563","hungrigeren","-0.0048"
"7564","hungriges","-0.0048"
"7565","hungrigerem","-0.0048"
"7566","hungrige","-0.0048"
"7567","hungrigstes","-0.0048"
"7568","hungrigster","-0.0048"
"7569","hungrigen","-0.0048"
"7570","hungrigsten","-0.0048"
"7571","hungrigem","-0.0048"
"7572","hungrigste","-0.0048"
"7573","hungrigstem","-0.0048"
"7574","hungriger","-0.0048"
"7575","hysterischsten","-0.0465"
"7576","hysterischster","-0.0465"
"7577","hysterischstes","-0.0465"
"7578","hysterischere","-0.0465"
"7579","hysterischstem","-0.0465"
"7580","hysterische","-0.0465"
"7581","hysterisches","-0.0465"
"7582","hysterischer","-0.0465"
"7583","hysterischeres","-0.0465"
"7584","hysterischerer","-0.0465"
"7585","hysterischste","-0.0465"
"7586","hysterischen","-0.0465"
"7587","hysterischem","-0.0465"
"7588","hysterischeren","-0.0465"
"7589","hysterischerem","-0.0465"
"7590","hysterischst","-0.0465"
"7591","hämischstes","-0.3198"
"7592","hämischster","-0.3198"
"7593","hämischere","-0.3198"
"7594","hämischsten","-0.3198"
"7595","hämischstem","-0.3198"
"7596","hämisches","-0.3198"
"7597","hämischer","-0.3198"
"7598","hämischem","-0.3198"
"7599","hämischst","-0.3198"
"7600","hämischen","-0.3198"
"7601","hämischste","-0.3198"
"7602","hämischeren","-0.3198"
"7603","hämischerem","-0.3198"
"7604","hämischerer","-0.3198"
"7605","hämische","-0.3198"
"7606","hämischeres","-0.3198"
"7607","höhnischsten","-0.0525"
"7608","höhnischste","-0.0525"
"7609","höhnischstem","-0.0525"
"7610","höhnische","-0.0525"
"7611","höhnischer","-0.0525"
"7612","höhnisches","-0.0525"
"7613","höhnischeren","-0.0525"
"7614","höhnischerem","-0.0525"
"7615","höhnischerer","-0.0525"
"7616","höhnischst","-0.0525"
"7617","höhnischeres","-0.0525"
"7618","höhnischen","-0.0525"
"7619","höhnischere","-0.0525"
"7620","höhnischster","-0.0525"
"7621","höhnischstes","-0.0525"
"7622","höhnischem","-0.0525"
"7623","idiotischsten","-0.0048"
"7624","idiotischste","-0.0048"
"7625","idiotischstem","-0.0048"
"7626","idiotischer","-0.0048"
"7627","idiotischen","-0.0048"
"7628","idiotischst","-0.0048"
"7629","idiotische","-0.0048"
"7630","idiotischem","-0.0048"
"7631","idiotischerem","-0.0048"
"7632","idiotischere","-0.0048"
"7633","idiotisches","-0.0048"
"7634","idiotischeres","-0.0048"
"7635","idiotischerer","-0.0048"
"7636","idiotischstes","-0.0048"
"7637","idiotischster","-0.0048"
"7638","idiotischeren","-0.0048"
"7639","illegaler","-0.3479"
"7640","illegales","-0.3479"
"7641","illegalsten","-0.3479"
"7642","illegalstes","-0.3479"
"7643","illegalster","-0.3479"
"7644","illegaleres","-0.3479"
"7645","illegalerer","-0.3479"
"7646","illegalstem","-0.3479"
"7647","illegaleren","-0.3479"
"7648","illegalste","-0.3479"
"7649","illegalerem","-0.3479"
"7650","illegale","-0.3479"
"7651","illegalst","-0.3479"
"7652","illegalere","-0.3479"
"7653","illegalen","-0.3479"
"7654","illegalem","-0.3479"
"7655","illoyalem","-0.0048"
"7656","illoyalen","-0.0048"
"7657","illoyalstes","-0.0048"
"7658","illoyaleren","-0.0048"
"7659","illoyalst","-0.0048"
"7660","illoyalster","-0.0048"
"7661","illoyalerem","-0.0048"
"7662","illoyalsten","-0.0048"
"7663","illoyalstem","-0.0048"
"7664","illoyales","-0.0048"
"7665","illoyale","-0.0048"
"7666","illoyalere","-0.0048"
"7667","illoyaler","-0.0048"
"7668","illoyalerer","-0.0048"
"7669","illoyaleres","-0.0048"
"7670","illoyalste","-0.0048"
"7671","immobilst","-0.0048"
"7672","immobile","-0.0048"
"7673","immobilerer","-0.0048"
"7674","immobileres","-0.0048"
"7675","immobilere","-0.0048"
"7676","immobilerem","-0.0048"
"7677","immobileren","-0.0048"
"7678","immobilen","-0.0048"
"7679","immobiler","-0.0048"
"7680","immobiles","-0.0048"
"7681","immobilste","-0.0048"
"7682","immobilstem","-0.0048"
"7683","immobilsten","-0.0048"
"7684","immobilster","-0.0048"
"7685","immobilstes","-0.0048"
"7686","immobilem","-0.0048"
"7687","ineffizientere","-0.4602"
"7688","ineffizienterem","-0.4602"
"7689","ineffizienteren","-0.4602"
"7690","ineffizienteres","-0.4602"
"7691","ineffizienterer","-0.4602"
"7692","ineffizienten","-0.4602"
"7693","ineffizientestes","-0.4602"
"7694","ineffizientester","-0.4602"
"7695","ineffiziente","-0.4602"
"7696","ineffizienteste","-0.4602"
"7697","ineffizientem","-0.4602"
"7698","ineffizientestem","-0.4602"
"7699","ineffizientesten","-0.4602"
"7700","ineffizientes","-0.4602"
"7701","ineffizienter","-0.4602"
"7702","ineffizientest","-0.4602"
"7703","infiltrierest","-0.0048"
"7704","infiltrieret","-0.0048"
"7705","infiltrier","-0.0048"
"7706","infiltriertest","-0.0048"
"7707","infiltrierten","-0.0048"
"7708","infiltrierte","-0.0048"
"7709","infiltrierst","-0.0048"
"7710","infiltriere","-0.0048"
"7711","infiltriertet","-0.0048"
"7712","infiltriert","-0.0048"
"7713","inkompetentesten","-0.5935"
"7714","inkompetentestem","-0.5935"
"7715","inkompetentestes","-0.5935"
"7716","inkompetenteste","-0.5935"
"7717","inkompetentester","-0.5935"
"7718","inkompetente","-0.5935"
"7719","inkompetentem","-0.5935"
"7720","inkompetenten","-0.5935"
"7721","inkompetentest","-0.5935"
"7722","inkompetenter","-0.5935"
"7723","inkompetentes","-0.5935"
"7724","inkompetentere","-0.5935"
"7725","inkompetenteren","-0.5935"
"7726","inkompetenterem","-0.5935"
"7727","inkompetenterer","-0.5935"
"7728","inkompetenteres","-0.5935"
"7729","inkonsequenteres","-0.1844"
"7730","inkonsequenterer","-0.1844"
"7731","inkonsequentere","-0.1844"
"7732","inkonsequentester","-0.1844"
"7733","inkonsequenterem","-0.1844"
"7734","inkonsequente","-0.1844"
"7735","inkonsequentestes","-0.1844"
"7736","inkonsequenteren","-0.1844"
"7737","inkonsequentes","-0.1844"
"7738","inkonsequenter","-0.1844"
"7739","inkonsequentesten","-0.1844"
"7740","inkonsequentem","-0.1844"
"7741","inkonsequenten","-0.1844"
"7742","inkonsequenteste","-0.1844"
"7743","inkonsequentestem","-0.1844"
"7744","inkonsequentest","-0.1844"
"7745","inkonsistenteres","-0.0048"
"7746","inkonsistentere","-0.0048"
"7747","inkonsistenterer","-0.0048"
"7748","inkonsistentestem","-0.0048"
"7749","inkonsistenterem","-0.0048"
"7750","inkonsistenteren","-0.0048"
"7751","inkonsistentesten","-0.0048"
"7752","inkonsistentem","-0.0048"
"7753","inkonsistenteste","-0.0048"
"7754","inkonsistentestes","-0.0048"
"7755","inkonsistentester","-0.0048"
"7756","inkonsistente","-0.0048"
"7757","inkonsistenter","-0.0048"
"7758","inkonsistentes","-0.0048"
"7759","inkonsistentest","-0.0048"
"7760","inkonsistenten","-0.0048"
"7761","inkorrektestes","-0.3167"
"7762","inkorrektester","-0.3167"
"7763","inkorrektestem","-0.3167"
"7764","inkorrekteste","-0.3167"
"7765","inkorrektesten","-0.3167"
"7766","inkorrekterer","-0.3167"
"7767","inkorrekterem","-0.3167"
"7768","inkorrekteren","-0.3167"
"7769","inkorrekter","-0.3167"
"7770","inkorrektere","-0.3167"
"7771","inkorrektes","-0.3167"
"7772","inkorrektem","-0.3167"
"7773","inkorrekteres","-0.3167"
"7774","inkorrekten","-0.3167"
"7775","inkorrekte","-0.3167"
"7776","inkorrektest","-0.3167"
"7777","instabiler","-0.3352"
"7778","instabilen","-0.3352"
"7779","instabilerem","-0.3352"
"7780","instabilste","-0.3352"
"7781","instabilem","-0.3352"
"7782","instabiles","-0.3352"
"7783","instabilstem","-0.3352"
"7784","instabilsten","-0.3352"
"7785","instabilst","-0.3352"
"7786","instabilstes","-0.3352"
"7787","instabileren","-0.3352"
"7788","instabilster","-0.3352"
"7789","instabile","-0.3352"
"7790","instabilere","-0.3352"
"7791","instabilerer","-0.3352"
"7792","instabileres","-0.3352"
"7793","intolerante","-0.3215"
"7794","intolerantest","-0.3215"
"7795","intoleranteste","-0.3215"
"7796","intolerantester","-0.3215"
"7797","intolerantes","-0.3215"
"7798","intoleranteres","-0.3215"
"7799","intolerantestes","-0.3215"
"7800","intoleranterer","-0.3215"
"7801","intolerantesten","-0.3215"
"7802","intolerantestem","-0.3215"
"7803","intoleranter","-0.3215"
"7804","intolerantere","-0.3215"
"7805","intoleranterem","-0.3215"
"7806","intoleranten","-0.3215"
"7807","intolerantem","-0.3215"
"7808","intoleranteren","-0.3215"
"7809","irrationalster","-0.3277"
"7810","irrationalen","-0.3277"
"7811","irrationalst","-0.3277"
"7812","irrationalstes","-0.3277"
"7813","irrationalsten","-0.3277"
"7814","irrationaler","-0.3277"
"7815","irrationales","-0.3277"
"7816","irrationalstem","-0.3277"
"7817","irrationalere","-0.3277"
"7818","irrationaleren","-0.3277"
"7819","irrationalerem","-0.3277"
"7820","irrationale","-0.3277"
"7821","irrationalste","-0.3277"
"7822","irrationaleres","-0.3277"
"7823","irrationalerer","-0.3277"
"7824","irrationalem","-0.3277"
"7825","irreerem","-0.0048"
"7826","irrest","-0.0048"
"7827","irreere","-0.0048"
"7828","irreeren","-0.0048"
"7829","irreeres","-0.0048"
"7830","irreerer","-0.0048"
"7831","irrees","-0.0048"
"7832","irrestes","-0.0048"
"7833","irree","-0.0048"
"7834","irrester","-0.0048"
"7835","irreer","-0.0048"
"7836","irreste","-0.0048"
"7837","irrestem","-0.0048"
"7838","irreem","-0.0048"
"7839","irresten","-0.0048"
"7840","irreen","-0.0048"
"7841","irrsinnigere","-0.0048"
"7842","irrsinnigst","-0.0048"
"7843","irrsinnigstes","-0.0048"
"7844","irrsinnigeres","-0.0048"
"7845","irrsinnigster","-0.0048"
"7846","irrsinnigen","-0.0048"
"7847","irrsinnigem","-0.0048"
"7848","irrsinniges","-0.0048"
"7849","irrsinnigstem","-0.0048"
"7850","irrsinnigsten","-0.0048"
"7851","irrsinnige","-0.0048"
"7852","irrsinniger","-0.0048"
"7853","irrsinnigerer","-0.0048"
"7854","irrsinnigste","-0.0048"
"7855","irrsinnigerem","-0.0048"
"7856","irrsinnigeren","-0.0048"
"7857","isolierten","-0.0388"
"7858","isolierst","-0.0388"
"7859","isoliertest","-0.0388"
"7860","isolierte","-0.0388"
"7861","isolier","-0.0388"
"7862","isolierest","-0.0388"
"7863","isoliertet","-0.0388"
"7864","isolieret","-0.0388"
"7865","isoliere","-0.0388"
"7866","isoliert","-0.0388"
"7867","jammert","-0.0504"
"7868","jammere","-0.0504"
"7869","jammertet","-0.0504"
"7870","jammertest","-0.0504"
"7871","jammerten","-0.0504"
"7872","gejammert","-0.0504"
"7873","jammeren","-0.0504"
"7874","jammer","-0.0504"
"7875","jammerte","-0.0504"
"7876","jammerst","-0.0504"
"7877","jähzornigstes","-0.3089"
"7878","jähzornigeres","-0.3089"
"7879","jähzorniger","-0.3089"
"7880","jähzornigster","-0.3089"
"7881","jähzorniges","-0.3089"
"7882","jähzornigste","-0.3089"
"7883","jähzornigem","-0.3089"
"7884","jähzornige","-0.3089"
"7885","jähzornigen","-0.3089"
"7886","jähzornigerem","-0.3089"
"7887","jähzornigstem","-0.3089"
"7888","jähzornigsten","-0.3089"
"7889","jähzornigeren","-0.3089"
"7890","jähzornigerer","-0.3089"
"7891","jähzornigst","-0.3089"
"7892","jähzornigere","-0.3089"
"7893","kahlste","-0.0472"
"7894","kahleren","-0.0472"
"7895","kahlerer","-0.0472"
"7896","kahleres","-0.0472"
